categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Conserves|Delpeyrat|Foie gras de canard entier du Périgord|e|Foie gras de canard du Périgord, sel, poivre, conservateur : nitrite de sodium.|2241|56.1|0.9||7.5|1.28|||||||||||||||||0||E250 - Nitrite de sodium|
Conserves|Delpeyrat,Delpeyrat Classic|Bloc de Foie Gras|e|Foie Gras de Canard, sel, Porto, Armagnac, sucre, poivre, conservateur: nitrite de sodium, antioxydant : ascorbate de sodium,|2017|50|0.9||5.9|1.1|||||||||||||||||0||E250 - Nitrite de sodium,E301 - Ascorbate de sodium|
Conserves|Dia|Flageolets Verts Extra-Fins|a|flageolets verts extra-fins, eau, sel|372|0.8|0.5|6|5.2|0.74|||||||||||||||||0|||
Conserves|Dia|Haricots Verts Extra-Fins - 400 g - Dia|a|haricots verts extra-fins, eau, sel. |106|0.2|0.5|3|1.6|0.635|||||||||||||||||0|||
Conserves|Dia|Légumes pour couscous|a|Mélange de légumes 57 %, jus.|123|0.6|1.9|1.8|1.3|0.8636|||||||||||||||||0||E14XX - Amidons modifiés,E160c - Extrait de paprika|
Conserves|Dolo|Corned-beef dans sa gelée|d|Boeuf 98.7%, sel, arôme, conservateur E250.|874|15|0.1|0|18|1.5|||||||||||||||||0||E250 - Nitrite de sodium|
Conserves|Duménil|Choucroute garnie|c|Choucroute 50 %. Jus : eau, sel, vin blanc, antioxydant : E300. arôme. Garniture 22 % : saucisses et saucisson fumés, viande de porc traitée en salaison, précuite. Saindoux. Baies de genièvres et grains de poivre.|339|6.3|0.4|2.1|3.6|1.35|||||||||||||||||0||E160c - Extrait de paprika,E250 - Nitrite de sodium,E300 - Acide ascorbique,E407 - Carraghénanes,E407a - Algues euchema transformées,E412 - Gomme de guar,E415 - Gomme xanthane,E451 - Triphosphates|
Conserves|El Saada|Bloc de Foie gras de canard|e|Foie gras de canard Halal, eau, sel, poivre, sucre.|1990|49.9|1.9||6.7|1.24|||||||||||||||||0|||
Conserves|El Saada|Foie gras de canard|e|Foie gras de canard Halal entier, sel, poivre, conservateur : E250. antioxydant : E301|2247|55|1.5||7.9|1.2|||||||||||||||||0||E250 - Nitrite de sodium,E301 - Ascorbate de sodium|
Conserves|Ensemble,Biocoop|Flageolets verts|a|Flageolets verts*, eau, sel de Guérande, *Ingrédient issu de l'agriculture biologique.|351|0.79|0.7|7.1|4.1|0.8382|||||||||||||||||0|||
Conserves|Ensemble,Biocoop|Haricots rouges|a|Haricots rouges, eau, sel de Guérande.|464|0.8|0.4||7.5|0.5|||||||||||||||||0|||
Conserves|Fauchon|Foie gras de canard entier du Sud-Ouest|e|Foie gras de canard, sel, nitrite de sodium |2276|23.6|0.9|0|7.5|1.34|||||||||||||||||0||E250 - Nitrite de sodium|
Conserves|Fines Tartines,Hénaff|Fromage Fondu|c|Fromage, crème, eau, , protéines de lait, poudre de lithothamne, épaississants : E509. E407. E410. sel, sels de fonte : E341. E452. E339.|1192|27|2.2||8.1|0.6|||||||||||||||||0||E339 - Orthophosphates de sodium,E341 - Phosphates de calcium,E407 - Carraghénanes,E410 - Farine de graines de caroube,E452 - Polyphosphates,E509 - Chlorure de calcium|
Conserves|Fleurs des Champs|Garniture 4 légumes|a|pommes de terres, carottes, haricots verts, flageolets verts, eau, sel|207|0.2|1.3||2.3|0.6|||||||||||||||||0|||
Conserves|Fleurs des Champs|Épinards en branches|a|Epinards, eau, sel.|138|0.9|0.2||3.4|0.6|||||||||||||||||0|||
Conserves|Fleurs des Champs|Pois chiches|a|Pois chiches secs, eau, sel.|527|2|0.8|5.3|6.8|0.7|||||||||||||||||0|||
Conserves|Gillet Contres|Garniture Gigot|a|Flageolets verts extra-fins, haricots verts extra-fins, eau, sel, arôme naturel.|218|0.4|0.6|5.1|2.9|0.3|||||||||||||||||0|blé||
Conserves|Gillet Contres|Topinambours du val de Loire|a|Topinambours, eau, sel de mer, acidifiant : acide citrique, antioxydant : acide ascorbique.|343|0.7|9.6||1.8|0.6|||||||||||||||||0||E300 - Acide ascorbique,E330 - Acide citrique|
Conserves|Gillet contres|Flageolets verts extra fins|a|Flageolets verts extra fins, eau, sel, affermissant : chlorure de calcium.|385|0.8|0.2|7.1|6.1|0.81|||||||||||||||||0||E509 - Chlorure de calcium|
Conserves|Golden Quality Foods|Classic Melocotón en Almíbar|a|Oreillons de pêche, eau, sirop de fructose-glucose, sucre, acidifiant.|291|0.2|14.3|0.8|0.4|0.01|||||||||||||||||0||E330 - Acide citrique|
